	Brain_1	Call	p-value	Brain_2	Call	p-value	Fetal_brain_1	Call	p-value	Fetal_brain_2	Call	p-value	Fetal_liver_1	Call	p-value	Fetal_liver_2	Call	p-value	Liver_1	Call	p-value	Liver_2	Call	p-value
100_g_at	660.4	A	0.09	725.33	P	0.02	237.31	A	0.32	248.8	A	0.44	207.32	A	0.48	274.91	A	0.42	595.5	A	0.28	479.07	A	0.36
1000_at	3032.39	P	0	2920.5	P	0	1507.19	P	0.01	1299.41	P	0.02	1226.68	M	0.04	1117.05	P	0.02	1203.7	M	0.05	1439.1	P	0.02
1001_at	220.59	A	0.12	103.28	P	0.04	241.08	A	0.1	189.99	A	0.12	303.47	P	0	368.71	P	0.01	335.61	P	0.01	354.66	A	0.09
1002_f_at	94.05	A	0.54	175.26	A	0.3	60.89	A	0.48	185.09	A	0.46	229.12	A	0.3	286.71	A	0.08	2072.56	P	0	2177.65	P	0
1003_s_at	153.05	A	0.54	168.31	A	0.46	430.17	A	0.3	292.63	A	0.38	698.64	A	0.25	292.5	A	0.48	584.01	A	0.34	684.85	A	0.44
1004_at	159.53	A	0.42	447.2	A	0.14	216.25	A	0.42	264.35	A	0.27	772.5	A	0.3	468.82	A	0.25	766.06	A	0.2	888.75	A	0.23
1005_at	912.64	P	0.04	1373.92	P	0	706.62	A	0.07	721.94	M	0.05	3941.1	P	0	4837.19	P	0	3377.95	P	0	3526.7	P	0
1006_at	21.36	A	0.88	19.77	A	0.64	18.01	A	0.9	8.45	A	0.88	53.49	A	0.68	25.87	A	0.75	19.5	A	0.91	19.86	A	0.98
1007_s_at	3553.61	P	0	4880.33	P	0	3298.68	P	0	2932.09	P	0	795.15	P	0.01	671.1	P	0.01	749.75	P	0.01	722.68	P	0.02
1008_f_at	1747.19	P	0.01	1640.83	P	0	2826.72	P	0.01	1542.65	P	0	4100.77	P	0.01	3037.14	P	0.01	7530.71	P	0.01	4199.63	P	0.01
1009_at	7311.79	P	0	6546.03	P	0	2852.94	P	0	2743.61	P	0	4756.34	P	0	5226.01	P	0	4798.29	P	0	5849.76	P	0
101_at	125.5	A	0.38	194.52	A	0.16	29.43	A	0.92	31.03	A	0.93	68.72	A	0.7	112.85	A	0.6	148.79	A	0.73	68.95	A	0.86
1010_at	31.17	A	0.94	31.14	A	0.77	31.1	A	0.84	31.12	A	0.86	56.3	A	0.84	41.85	A	0.87	71.49	A	0.81	27.42	A	0.97
1011_s_at	772.62	P	0	689.93	P	0	1364.33	P	0	1256.35	P	0	462.26	P	0.02	421.36	P	0	171.56	P	0.01	326.29	A	0.08
1012_at	18.85	A	0.9	16.22	A	0.6	45.41	A	0.66	72.41	A	0.46	16.01	A	0.78	16.1	A	0.84	12.48	A	0.98	13.65	A	0.98
1013_at	86.19	P	0.01	12.48	A	0.4	186.69	P	0.01	184.03	P	0	92.71	M	0.05	150.31	P	0	46.54	A	0.32	25.46	A	0.4
1014_at	687.48	P	0.04	628.02	P	0.04	464.62	A	0.18	504.28	A	0.16	614.89	A	0.22	529.54	A	0.13	108.52	A	0.66	97.81	A	0.7
1015_s_at	93.2	A	0.86	200.88	A	0.48	101.38	A	0.73	49.51	A	0.86	61.19	A	0.9	48.6	A	0.86	82.24	A	0.89	65.34	A	0.91
1016_s_at	30.2	A	0.52	23.71	A	0.38	94.15	A	0.4	93.62	A	0.11	51.68	A	0.4	85.24	A	0.23	108.01	A	0.27	113.65	M	0.05
1017_at	172.76	A	0.07	173.95	P	0.02	360.9	P	0.01	424.28	P	0.01	150.15	A	0.07	125.32	M	0.04	100.01	A	0.42	28.01	A	0.93
1018_at	616.16	A	0.16	666.54	P	0.01	489.24	A	0.19	531.06	A	0.14	271.39	A	0.6	177.78	A	0.48	101.56	A	0.85	147.49	A	0.85
1019_g_at	1096.35	P	0.01	1647.75	P	0	1185.32	P	0	973.81	P	0.01	265.86	A	0.23	442.69	A	0.13	597.76	M	0.05	845.15	A	0.07
