	Brain_1.CEL	Brain_2.CEL	Fetal_brain_1.CEL	Fetal_brain_2.CEL	Fetal_liver_1.CEL	Fetal_liver_2.CEL	Liver_1.CEL	Liver_2.CEL
100_g_at	1588.08679330703	1601.46912720469	1562.70874323057	1457.09001166941	1472.14031712973	1365.68222539729	1622.86136057573	1655.25282782498
1000_at	3439.11586620523	4092.08840784962	2747.37466392289	2521.84761403925	2059.76842484389	1971.75601810776	1902.99061158508	2106.7411537009
1001_at	502.276088720346	482.003235664217	499.068700204627	456.58061075335	652.374546433228	602.609244915435	539.802592602849	554.628851930352
1002_f_at	944.463096978115	1059.60242476074	1077.84412216685	951.12092246814	1041.88121028559	999.528819208745	1916.50421853796	1717.50306791391
1003_s_at	641.579804433102	637.6051817568	740.0545297003	665.261037150084	770.945853287066	641.840453766839	702.444257455838	738.614260423293
1004_at	773.74715726646	697.055224639697	893.539318746958	937.630440056357	969.041867987402	1034.29393736519	1006.78052957924	1065.51046725242
1005_at	1261.90275162897	1320.45369825743	1131.23367110069	1085.39325806218	2778.07435558899	3126.60794791562	2323.70139552234	2149.66672608012
1006_at	452.543977698617	450.127567204193	442.967135967297	447.309373098325	547.116182396392	507.837413539337	526.806060410744	527.44747729899
1007_s_at	3102.13775168739	3487.12980588323	3502.70053126756	3537.37174009893	2810.06304082177	3146.64604778077	2853.13650113483	3151.42918202592
1008_f_at	1831.5537706062	1699.98349388897	2106.98407316171	1988.73623565295	2602.53105926564	2514.49013937851	2994.57868784277	2363.71651401655
1009_at	7909.91098506576	6604.16827879105	3854.08248140108	4435.39068501954	4857.59643374796	4973.28630389996	4767.33872990505	4340.82778855091
101_at	648.775283983473	585.847349236185	463.646847268981	479.25229237842	534.426760258717	495.304180806343	547.394169802752	540.23533483769
1010_at	616.787586814296	596.801562766176	766.893396267706	738.647678769141	779.186995810122	761.930219870966	828.026175244742	716.026717957344
1011_s_at	2449.99453895411	2194.06254091025	3108.99000990887	2848.47824564232	1113.18680483523	1152.26612218765	692.045392388467	724.452448003808
1012_at	424.719771293023	411.727475487301	397.517755674646	402.640370928477	428.629850121196	429.399202126285	404.369078846571	424.328528218154
1013_at	248.431805115095	264.249188158904	303.461995759173	313.149829390732	277.324110347981	314.738063557232	272.816538262106	261.943480987694
1014_at	1757.98878458689	2350.47401728202	1485.04276515829	1340.4329450973	1775.68385190395	1674.61380961948	1808.05279851311	1908.91631155602
1015_s_at	732.270725609419	733.60993865221	813.825638884144	822.360582154404	774.86657300342	765.549226715999	824.012729986896	845.594602504204
1016_s_at	378.348939193798	378.385584031144	369.076617986263	385.406358955403	402.782311142738	385.66153275253	478.841059216776	497.572268459415
1017_at	427.049388468399	516.144580572337	447.837698038817	483.871551878426	427.197524854662	426.292384289842	402.506756488872	404.939171072133
1018_at	940.312913497374	999.736139780699	844.934827088697	785.762649409082	860.371843734039	780.338371108311	940.594864186269	999.934239210281
1019_g_at	1119.97428024615	1291.72965608057	1349.39826421543	1160.9243479315	996.915751760841	916.021351770699	965.774140016588	985.671050496158
102_at	465.584998889553	423.715005231281	467.992957621679	421.569572008605	489.205829590935	475.986447602588	499.744736797981	580.613330758317
1020_s_at	1268.07753998128	1270.83974416627	795.015413152925	678.587733175566	1282.89886564557	1266.02002355253	1845.64450222019	1872.89167458091
1021_at	451.223386728592	443.831081057377	575.42793996888	511.495644134275	529.487341115822	538.882062849553	594.363521782739	620.553545360404
